Meta data for file “Granath_etal_gsp_isosphag.csv”,,,,
"Data used in paper Granath et al., Biogeosciences",,,,
,,,,
Column name,Variable,Unit,Reference,Comment
Region,,,,Country and province/area
Site,,,,Site name
Patch_id,,,,ID of the sampled patch
Species,,,,Species name. Note that S. magellanicum is treated as S.magellanicum collectiva. It is likely a mix of S. medium and S. divinum
Patch_coord_lat,,,,"Latitude coordinate, WGS84"
Patch_coord_lon,,,,"Longitude coordinate, WGS84"
iso_18O_all,d18O tissue,‰,,Sphagnum whole-plant tissue (capitula)
iso_13C_all,d13O tissue,‰,,Sphagnum whole-plant tissue (capitula)
prod,Net Primary Productivity,g m-2 year-1,,Sphagnum NPP
bowen_18O_annual,d18O precipitation annual,‰,"Bowen and Wilkinson 2002,http://www.waterisotopes.org",Modelled annual mean value in precipitation
bowen_18O_AprSep,d18O precipitation Apr-Sep,‰,"Bowen and Wilkinson 2002,http://www.waterisotopes.org",Modelled April to September mean value in precipitation
bowen_18O_JanApr,d18O precipitation Jan-Apr,‰,"Bowen and Wilkinson 2002,http://www.waterisotopes.org",Modelled January to April mean value in precipitation
bowen_18O_annual.w,d18O precipitation annual weighted,‰,"Bowen and Wilkinson 2002,http://www.waterisotopes.org",Modelled annual mean value in precipitation and weighted against precipitation
bowen_18O_AprSep.w,d18O precipitation Apr-Sep weighted,‰,,Modelled April to September mean value in precipitation and weighted against precipitation
bowen_18O_JanApr.w,d18O precipitation Jan-Apr weighted,‰,,Modelled January to April mean value in precipitation  and weighted against precipitation
HWT_end_season,Height above the Water Table,cm,,"Moss surface position above the water table, measured in the end of the growing season"
elevation,Elevation,m,,Above sea level
avt,Average air temperature April to October,C°,"NASA GESDISC data archive, land surface and flux diagnostics products (M2T1NXLND, M2TMNXFLX)",TLML variable
evap,Evapotranspiration April to October,mm,"NASA GESDISC data archive, land surface and flux diagnostics products (M2T1NXLND, M2TMNXFLX)",EVLAND variable
precip,Precipitation April to October,mm,"NASA GESDISC data archive, land surface and flux diagnostics products (M2T1NXLND, M2TMNXFLX)",PRECTOTCORR variable
samp_year,,,,Year of sampling
