"var","Species","mean","sd","min","max"
"iso_18O_all","S.fuscum",20.86,1.87,14.45,24.14
"iso_18O_all","S.magellanicum",20.32,1.94,12.57,24.63
"iso_13C_all","S.fuscum",-28.25,1.16,-31.47,-25.85
"iso_13C_all","S.magellanicum",-28.78,1.45,-32.19,-24.32
"bowen_18O_annual","S.fuscum",-12.82,3.46,-21.31,-8.42
"bowen_18O_annual","S.magellanicum",-12.14,3.29,-21.31,-8.16
"avt","S.fuscum",13.4,3.23,5.73,18.39
"avt","S.magellanicum",14.21,2.58,5.76,18.39
"evap","S.fuscum",513.81,109.52,253.7,732.91
"evap","S.magellanicum",526.5,97.91,332.66,732.91
"precip","S.fuscum",527.43,145.92,256.54,833.27
"precip","S.magellanicum",515.35,147.98,218.32,833.27
"ep","S.fuscum",1.03,0.27,0.32,1.54
"ep","S.magellanicum",1.08,0.24,0.53,1.56
"prod","S.fuscum",232.13,157.3,-65.14,833.64
"prod","S.magellanicum",179.6,150.65,8.94,921.15
"HWT_end_season","S.fuscum",33.37,13.41,9.5,100
"HWT_end_season","S.magellanicum",24.23,14.16,0,75
"elevation","S.fuscum",303.47,397.88,2,1829
"elevation","S.magellanicum",358.55,436.87,2,1829
