year,consumption,slowcons,fastcons
2010,85.01,85.01,85.01
2015,105.18,94.66604838,116.6086078
2020,125.35,103.4247208,151.3696611
2025,147.77,112.3714882,193.3697973
2030,172.51,121.4859962,243.4748231
2035,199.61,130.7517118,302.5822048
2040,229.14,140.1550905,371.6202834
2045,261.14,149.6849151,451.5474666
2050,295.65,159.3317678,543.3512416
2055,332.73,169.0876083,648.0468972
2060,372.42,178.9454371,766.675873
2065,414.77,188.8990274,900.3036905
2070,459.80,198.9427118,1050.017431
2075,507.56,209.0712126,1216.922738
2080,558.09,219.2795052,1402.140289
2085,611.40,229.5627043,1606.801654
2090,667.54,239.9159599,1832.044292
2095,726.51,250.3343465,2079.005217
2100,788.34,260.812718,2348.812307
2105,853.04,271.3454825,2642.571169
2110,920.62,281.9299197,2961.458527
2115,991.10,292.5626877,3306.634459
2120,1064.49,303.2400374,3679.240095
2125,1140.79,313.9579504,4080.394701
2130,1220.01,324.7122303,4511.192387
2135,1302.13,335.4985649,4972.698645
2140,1387.15,346.3125719,5465.946869
2145,1475.05,357.1498342,5991.934972
2150,1565.80,368.0059284,6551.622194
2155,1659.39,378.8764493,7145.926174
2160,1755.79,389.7570326,7775.720363
2165,1854.96,400.6433747,8441.831809
2170,1956.88,411.531252,9145.039373
2175,2061.49,422.4165399,9886.072449
2180,2168.76,433.2952309,10665.61024
2185,2278.64,444.1634549,11484.28173
2190,2391.09,455.0175016,12342.66657
2195,2506.06,465.8538497,13241.29728
2200,2623.49,476.6692087,14180.66349
2205,2743.35,487.4605839,15161.21977
2210,2865.58,498.2253853,16183.39954
2215,2990.14,508.9616164,17247.64026
2220,3117.00,519.6682074,18354.42924
2225,3246.14,530.3456105,19504.38737
2230,3377.57,540.9968625,20698.42328
2235,3511.37,551.6294846,21938.01677
2240,3647.73,562.25886,23225.73968
2245,3783.27,572.6286011,24529.75662
2250,3920.17,582.9154658,25870.73376
2255,4058.55,593.1322508,27250.11969
2260,4198.41,603.2829297,28668.32362
2265,4339.70,613.366692,30125.10325
2270,4482.32,623.3802947,31619.80749
2275,4626.16,633.3194042,33151.52699
2280,4771.10,643.1793404,34719.18645
2285,4917.01,652.9554743,36321.60088
2290,5063.79,662.6434251,37957.50973
2295,5211.29,672.2391469,39625.59768
2300,5359.41,681.7389555,41324.50759
2305,5508.02,691.1395244,43052.84889
2310,5657.02,700.4378667,44809.20347
2315,5806.30,709.6313117,46592.13027
2320,5955.75,718.7174805,48400.16917
2325,6105.27,727.6942628,50231.84458
2330,6254.75,736.559796,52085.66893
2335,6404.11,745.3124464,53960.14615
2340,6553.24,753.9507927,55853.7751
2345,6702.07,762.4736112,57765.05295
2350,6850.50,770.8798625,59692.47856
2355,6998.45,779.1686795,61634.55576
2360,7145.85,787.339357,63589.79649
2365,7292.60,795.3913409,65556.72381
2370,7438.65,803.3242189,67533.87467
2375,7583.91,811.1377105,69519.80234
2380,7728.33,818.8316573,71513.07849
2385,7871.83,826.4060116,73512.29447
2390,8014.36,833.8608223,75516.06163
2395,8155.86,841.1962169,77523.00971
2400,8296.27,848.4123733,79531.78226
2405,8435.53,855.5094765,81541.02662
2410,8573.60,862.4876477,83549.37455
2415,8710.40,869.3468233,85555.40633
2420,8845.87,876.0865473,87557.58563
2425,8979.94,882.7056125,89554.14275
2430,9112.50,889.2014343,91542.86631
2435,9243.38,895.5689579,93520.73304
2440,9372.33,901.7987441,95483.24995
2445,9498.94,907.8736105,97423.28564
2450,9622.50,913.7627086,99328.98902
2455,9741.75,919.4110132,101180.0651
2460,9854.52,924.7204384,102941.0506
2465,9956.93,929.5152095,104548.9728
2470,10130.75,937.6003646,107296.1361
2475,10288.19,944.8636642,109805.1594
2480,10433.51,951.5181095,112138.2239
2485,10569.72,957.7128714,114339.8246
2490,10698.95,963.5531333,116441.8082
2495,10822.71,969.1134781,118466.9553
2500,10942.10,974.447057,120431.5388
2505,11057.89,979.5919402,122347.1585
2510,11170.63,984.5755495,124222.0576
